    0.3618,    0.6462, 1
    0.6014,    0.4591, 1
    0.5046,    0.2485, 1
    0.4862,    0.0380, 1
    0.4954,    0.0497, 1
   -0.2051,   -0.6345, 1
   -0.2235,   -0.2368, 1
   -0.6060,   -0.5351, 1
   -0.5046,   -0.2076, 1
   -0.3065,   -0.4766, 1
   -0.1359,    0.6287, 2
   -0.3710,    0.1784, 2
    0.2512,   -0.2602, 2
    0.2097,   -0.7398, 2
    0.8134,   -0.2544, 2
   -0.0668,    0.1959, 2
    0.1359,   -0.0439, 2
   -0.7995,    0.2135, 2
   -0.0806,    0.9327, 2
    0.0069,   -0.0497, 2 
    
    
    
    